award_id,recipient,amount,date,agency,sub_agency,naics_code,naics_desc,state,description
FA824018C7218,JT4 LLC,2722542101.18,2018-04-05,Department of Defense,Department of the Air Force,,,NV,JOINT RANGE TECHNICAL SERVICES (J-TECH II)
N0002416C2106,"BECHTEL PLANT MACHINERY, INC.",2708595970.0,2015-12-30,Department of Defense,Department of the Navy,,,PA,NAVAL REACTORS
N0002410C2229,HUNTINGTON INGALLS INCORPORATED,2704759379.0,2010-06-30,Department of Defense,Department of the Navy,,,MS,"PROCURE LONG LEAD TIME MATERIAL (LLTM), ADVANCED ENGINEERING AND PLANNING SERVICES AND SPECIAL STUDIES."
N0001917C0020,RTX CORPORATION,2682738779.93,2016-11-08,Department of Defense,Defense Contract Management Agency,,,CT,LRIP 11 AAC - FMS AND INTERNATIONAL PARTNERS
N0002413C2108,HUNTINGTON INGALLS INC,2676691465.0,2013-03-29,Department of Defense,Department of the Navy,,,VA,RCOH DELIVERY PERFORMANCE INCENTIVE
N0001916C0048,SIKORSKY AIRCRAFT CORPORATION,2659159500.79,2016-04-18,Department of Defense,Department of the Navy,,,CT,CH-53K LRIP LOT 1 LONG LEAD ITEMS
N0002404C2118,HUNTINGTON INGALLS INC,2626745869.0,2004-05-21,Department of Defense,Department of the Navy,,,VA,
70B01C26F00000405,FISHER SAND & GRAVEL CO,2594040000.0,2026-06-02,Department of Homeland Security,U.S. Customs and Border Protection,,,TX,BORDER BARRIER DESIGN BUILD FOR BBT-5
80MSFC20C0052,THE BOEING COMPANY,2593215439.0,2019-10-16,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,AL,SPACE LAUNCH SYSTEM (SLS) STAGES PRODUCTION AND EVOLUTION CONTRACT (SPEC)
N0002409C2107,HUNTINGTON INGALLS INC,2574356598.29,2009-08-26,Department of Defense,Department of the Navy,,,VA,CVN 71 REFUELING COMPLEX OVERHAUL ACCOMPLISHMENT.
N0002411C2306,BATH IRON WORKS CORPORATION,2551316435.0,2011-09-15,Department of Defense,Department of the Navy,,,ME,DDG 1001/1002 CONSTRUCTION AND FY11 CLASS SERVICES
N0002424C2114,"BECHTEL PLANT MACHINERY, INC.",2542667076.0,2023-12-22,Department of Defense,Department of the Navy,,,PA,S9G
GSFC0198106DNAS526555,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",2517978040.0,1987-09-15,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,MD,THE PRIMARY ACTIVITIES COVERED BY THIS EFFORT INCLUDE THE FINAL SERVICING MISSION AND SUBSEQUENT OPERATIONS THROUGH END-OF-MISSION. THESE ACTIVITIES INCLUDE: A. SCIENCE PROGRAM IMPLEMENTATION INCLUDIN
FA867523C0037,RAYTHEON COMPANY,2512922035.4,2023-06-20,Department of Defense,Department of the Air Force,,,AZ,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOT 37
N0003022C1025,LOCKHEED MARTIN CORP,2512869709.63,2021-11-10,Department of Defense,Department of the Navy,,,CO,RESERVED
N0002424C2301,NATIONAL STEEL AND SHIPBUILDING COMPANY,2502010119.0,2024-09-13,Department of Defense,Department of the Navy,,,CA,T-AO 214 - 221 DD&C BLOCK BUY
FA881013C0001,LOCKHEED MARTIN CORP,2491233025.25,2013-02-19,Department of Defense,Defense Contract Management Agency,,,CA,SBIRS GEO 5&6 ADVANCED PROCUREMENT
W31P4Q23F0024,LOCKHEED MARTIN CORPORATION,2489288587.67,2022-10-31,Department of Defense,Department of the Army,,,TX,GUIDED MULTIPLE LAUNCH ROCKET SYSTEM (GMLRS) AND LOW COT REDUCED RANGE PRACTICE ROCKET (LCRRPR) FY24 FULL RATE PRODUCTION LOT 19 DELIVERY ORDER
W56HZV23C0024,BAE SYSTEMS LAND & ARMAMENTS L.P.,2479580090.0,2023-03-03,Department of Defense,Department of the Army,,,PA,EARLY ORDER MATERIAL IN SUPPORT OF THE FUTURE PURCHASE OF 197 AMPVS AND FACILITY CAPACITY EXPANSION EFFORTS TO INCREASE THE AMPV PRODUCTION RATE TO 197 VEHICLES PER YEAR. SUPPORTS UKRAINE EFFORTS.
N0001917C0003,THE BOEING COMPANY,2444992704.44,2017-02-27,Department of Defense,Defense Contract Management Agency,,,MO,LOT 40 F/A-18E AND EA-18G AIRCRAFT WITH AEA KITS
89303523FEM400032,UNITED CLEANUP OAK RIDGE LLC,2429373908.0,2023-05-17,Department of Energy,Department of Energy,,,TN,OAK RIDGE RESERVATION CLEANUP CONTRACT TASK ORDERS
89243024CSC000002,"FERMI FORWARD DISCOVERY GROUP, LLC",2404483872.69,2024-09-30,Department of Energy,Department of Energy,,,IL,MANAGEMENT AND OPERATING CONTRACT FOR THE FERMI NATIONAL ACCELERATOR LABORATORY (FNAL)
HQ085621C0003,NORTHROP GRUMMAN SYSTEMS CORPORATION,2395436919.18,2021-03-24,Department of Defense,Missile Defense Agency,,,AZ,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)"
FA910115C0500,"NATIONAL AEROSPACE SOLUTIONS, LLC",2391644528.17,2015-06-10,Department of Defense,Department of the Air Force,,,TN,IGF::CL::IGF TEST OPERATIONS AND SUSTAINMENT
W58RGZ06C0093,THE BOEING COMPANY,2383995727.08,2006-03-31,Department of Defense,Defense Contract Management Agency,,,AZ,200607!002414!2100!W58RGZ!USA AVIATION AND MISSILE COMMAND!W58RGZ06C0093  !A!N! !N!             !      !20060331!20061031!047800297!006265946!009256819!N!MCDONNELL DOUGLAS HELICOPTER C!5000 E MCDOWELL
89303723FEM400292,"SAVANNAH RIVER MISSION COMPLETION, LLC",2373307167.02,2023-09-13,Department of Energy,Department of Energy,,,SC,THIS AWARD IS FOR THE SAVANNAH RIVER INTEGRATED MISSION COMPLETION CONTRACT - TASK ORDER 6 (LIQUID WASTE OPERATIONS).
N0001919C0013,LOCKHEED MARTIN CORPORATION,2356006918.46,2018-11-14,Department of Defense,Department of the Navy,,,NY,MH-60R AIRCRAFT
W56HZV10C0077,CANADIAN COMMERCIAL CORPORATION,2344291363.92,2009-11-24,Department of Defense,Department of the Army,,,,LAV-25(S) A2 - 4TH BDE
HT940221C0007,EVERNORTH FEDERAL SERVICES INC,2329597954.34,2021-08-05,Department of Defense,Defense Health Agency,,,MO,TRICARE PHARMACY SERVICES
DAAA0998E0006,BAE SYSTEMS ORDNANCE SYSTEMS INC.,2317804252.92,1999-10-19,Department of Defense,Department of the Army,,,TN,199812!2100!0747!AA09 !U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0998E0006  !A!*!P00001             !19980929!19991231!289954943!770087872!217304393!N!40381!ROYAL ORDNANCE PLC            !EUXTON LA        
N0001920C0047,SIKORSKY AIRCRAFT CORPORATION,2310726485.75,2020-03-26,Department of Defense,Department of the Navy,,,CT,CH-53K LRIP LOT 5/6 LONG LEAD ITEMS
19AQMM23F0766,XATOR LLC,2309491422.64,2023-03-17,Department of State,Department of State,,,,CARE LOGISTICAL SUPPORT SERVICES - CLSS
DEEM0004083,FLUOR IDAHO LLC,2302392653.56,2016-02-04,Department of Energy,Department of Energy,,,ID,"IGF::OT::IGF, ICP CORE CONTRACT"
W58RGZ26C0002,THE BOEING COMPANY,2295831204.0,2025-11-25,Department of Defense,Department of the Army,,,AZ,"APACHE NEW BUILD ATTACK HELICOPTERS (AH)-64E FOR FOREIGN MILITARY SALE CUSTOMERS POLAND (QTY OF 96), EGYPT (QTY OF 2) AND KUWAIT (QTY OF 8).  THIS INCLUDES ASSOCIATED COMPONENTS AND ACCESSORIES AND LO"
W52P1J19F0394,"KBR SERVICES, LLC",2292772781.18,2019-04-12,Department of Defense,Department of the Army,,,,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM PERFORMANCE TASK ORDER.
0005,THE BOEING COMPANY,2285494120.08,2012-10-01,Department of Defense,Defense Contract Management Agency,,,CA,AIRCRAFT SUSTAINMENT
DEAC0902SR22210,PARSONS GOVERNMENT SERVICES INC.,2276893314.21,2002-09-15,Department of Energy,Department of Energy,,,SC,SALT WASTE PROCESSING FACILITY CONCEPTUAL DESIGN
MSFC0200205DNAS801140,"AEROJET ROCKETDYNE OF DE, INC",2264561937.05,2002-05-02,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,SPACE SHUTTLE ENG SUPPORT FOR FLIGHT SCH OF 30  FLI FLIGHTS EXTENDING FROM 1/1/02 THRU 12/31/06
FA821413C0001,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,2262462537.06,2013-07-31,Department of Defense,Department of the Air Force,,,MD,"IGF::CL::IGF SYSTEMS ENGINEERING, INTEGRATION AND PROGRAM MANAGEMENT SUPPORT FOR THE ICBM SYSTEMS DIRECTORATE."
W58RGZ12C0123,ARMY SUSTAINMENT LLC,2257290758.72,2012-07-24,Department of Defense,Department of the Army,,,AL,"AIRCRAFT MAINTENANCE SERVICES FOR FT RUCKER, AL IGF::OT::IGF"
FA865925CB003,RAYTHEON COMPANY,2248982500.3,2025-07-31,Department of Defense,Department of the Air Force,,,AZ,ADVANCED MEDIUM RANGE AIR-TO-AIR MISSILE (AMRAAM)LOTS 39-40
F3365701C4600,"TELEDYNE, INC",2237430306.72,2001-03-16,Department of Defense,Defense Contract Management Agency,,,CA,200106!000169!5700!GU72 !ASC/RWKR !F3365701C4600 !A!N!*!N! !20010316!20030228!008391203!008255408!016435559!N!NORTHROP GRUMMAN CORPORATION !17066 GOLDENTOP ROAD !SAN DIEGO !CA!92127!59416!073!06!RANCH
F1962802C0010,"L3HARRIS TECHNOLOGIES, INC.",2226709932.96,2002-01-30,Department of Defense,Department of the Air Force,,,CO,"200204!000024!5700!GV59 !ESC/NDK !F1962802C0010 !A!N! !N! !20020130!20020930!052819732!052819732!001216845!N!ITT INDUSTRIES, INC , SYSTEMS !4410 E FOUNTAIN BLVD !COLORADO SPRIN !CO!80916!16000!041!08!"
36C10G23K0058,TRIWEST HEALTHCARE ALLIANCE CORP,2224839172.7,2023-09-12,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: REGION 4 QUARTER 3 FY23
W31P4Q23C0005,LOCKHEED MARTIN CORPORATION,2213842633.09,2023-03-30,Department of Defense,Department of the Army,,,FL,AGMS PRODUCTION
N0001915C0004,RTX CORPORATION,2213245788.81,2015-04-30,Department of Defense,Defense Contract Management Agency,,,CT,F135 LRIP LOT 10 ADVANCED ACQUISITION CONTRACT
0007,"KBR SERVICES, LLC",2207263443.51,2014-12-16,Department of Defense,Department of the Army,,,,AWARD TASK ORDER  IGF::OT::IGF
W911QY21C0031,MERCK SHARP & DOHME LLC,2205000834.0,2021-06-07,Department of Defense,Department of the Army,,,NJ,COVID-19 ORAL ANTIVIRAL  MK-4482 (MOLNUPIRAVIR)
W52P1J19F0400,VECTRUS SYSTEMS LLC,2203610702.76,2019-04-12,Department of Defense,Department of the Army,,,,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V SUPPORT SERVICES IN KUWAIT
N0001923F0002,LOCKHEED MARTIN CORPORATION,2198479923.74,2022-12-16,Department of Defense,Department of the Navy,,,TX,JPO F-35 CY23 MODS AND RETROFIT PROGRAM SUPPORT
FA881013C0002,LOCKHEED MARTIN CORP,2194921223.67,2013-03-15,Department of Defense,Department of the Air Force,,,CA,IGF::OT::IGF SUSTAINMENT SUPPORT FISCAL YEAR 12-16
FA867521C0034,RAYTHEON COMPANY,2177560015.51,2021-03-26,Department of Defense,Department of the Air Force,,,AZ,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOTS 34-36
DEAC0209CH11466,THE TRUSTEES OF PRINCETON UNIVERSITY,2170949215.38,2009-01-28,Department of Energy,Department of Energy,,,NJ,MANAGEMENT AND OPERATING CONTRACT FOR THE OPERATION OF THE PRINCETON PLASMA PHYSICS LABORATORY (PPPL)
NAS998100,LOCKHEED MARTIN CORPORATION,2150327425.31,1998-09-25,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,TX,CONSOLIDATED SPACE OPERATIONS CONTRACT PHASE 2.
HQ085120C0002,RAYTHEON COMPANY,2147446227.49,2020-03-25,Department of Defense,Defense Contract Management Agency,,,AZ,SM-3 BLK IB ALL UP ROUNDS
W31P4Q24C0024,RAYTHEON COMPANY,2141322930.0,2024-07-31,Department of Defense,Department of the Army,,,MA,UNDEFINITIED CONTRACT (UCA) FOR LOWER TIER AIR AND MISSILE DEFENSE SYSTEM (LTAMDS)
HQ027610C0005,RAYTHEON COMPANY,2139893963.44,2010-09-08,Department of Defense,Defense Contract Management Agency,,,AZ,BLOCK IIA AUR PRELIMINARY DESIGN
36C10G22K0036,TRIWEST HEALTHCARE ALLIANCE CORP,2110778408.75,2022-09-30,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: QUARTER 4
693KA821F00222,HARRIS CORPORATION,2099573343.09,2021-07-01,Department of Transportation,Federal Aviation Administration,,,DC,THE PURPOSE OF THIS DELIVERY ORDER AWARD IS TO ADD FUNDING FOR FTI TELECOMMUNICATIONS SERVICES.
NNK13MA14C,"AMENTUM TECHNOLOGY, INC.",2099373524.58,2012-12-17,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,FL,IGF::OT::IGF THE TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) IS A COST-PLUS-AWARD-FEE CONTRACT WITH AN INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDERING PROVISION. TOSC PROVIDES A PROCESSING CONTR
N0001918C1048,LOCKHEED MARTIN CORPORATION,2097972895.35,2018-05-24,Department of Defense,Department of the Navy,,,TX,IS SUPPORT EQUIPMENT
FA862616C2138,GENERAL ELECTRIC COMPANY,2090921087.07,2016-06-30,Department of Defense,Department of the Air Force,,,OH,ADAPTIVE ENGINE TRANSITION PROGRAM  (AETP)
SAQMMA11F0233,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,2087211597.56,2010-12-22,Department of State,Department of State,,,DC,"TASK ORDER TO PROVIDE PROJECT MANAGEMENT SUPPORT, TRANSITION SUPPORT, ENGINEERING AND DESIGN SUPPORT, SECURING THE INFRASTRUCTURE SUPPORT AND O&M SUPPORT FOR THE DEPARTMENT'S IT CONSOLIDATION PROGRAM."
HSCG2316CAFR625,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",2075724899.08,2016-05-04,Department of Homeland Security,U.S. Coast Guard,,,LA,THE UNITED STATES COAST GUARD HAS A REQUIREMENT TO PROCURE UP TO TWENTY-SIX (26) FAST RESPONSE CUTTERS (FRCS) ON A FIRM FIXED PRICE (FFP) BASIS WITH AN ECONOMIC PRICE ADJUSTMENT (EPA).  PHASE II OF TH
0019,"GM GDLS DEFENSE GROUP, L.L.C.",2067459029.03,2006-12-21,Department of Defense,Department of the Army,,,MI,THIS ACTION IS FOR A NEW FOLLOW-ON CONTRACTOR LOGISTICS SUPPORT (CLS) DELIVERY ORDER 0019.  THE CONTRACTOR WILL PROVIDE CONTRACTOR LOGISTICS SUPPORT (CLS) FOR STRYKER FAMILY OF VEHICLES (FOV) IN BOTH 
N0002424C2473,HUNTINGTON INGALLS INCORPORATED,2067000000.0,2024-09-24,Department of Defense,Department of the Navy,,,MS,"LPD 33, 34, AND 35 DD&CS"
W56HZV20C0050,OSHKOSH DEFENSE LLC,2065705348.31,2020-03-13,Department of Defense,Department of the Army,,,WI,CONTRACT W56HZV-20-C-0050 IS ISSUED TO PROVIDE CONTINUATION OF CONTRACT W56HZV-15-C-0095.
DEAC0506OR23100,"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",2064774055.5,2005-12-21,Department of Energy,Department of Energy,,,TN,TECHNICAL SERVICES TO MANAGE AND DIRECT THE PROGRAMS OF ORISE
N0001920C0003,THE BOEING COMPANY,2058655011.17,2020-05-13,Department of Defense,Department of the Navy,,,MO,SLAM ER OBSOLESCENCE REDESIGN - NRE AND PRODUCTION OF SLAM ER MISSILES
NNM06AB13C,"AEROJET ROCKETDYNE OF DE, INC",2057069643.92,2006-06-02,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,LETTER CONTRACT TO INITIATE DDT&E AND LONG LEAD PURCHASES
FA863422F0035,THE BOEING COMPANY,2039776433.36,2022-09-29,Department of Defense,Department of the Air Force,,,MO,F-15EX - LOT 4 ADVANCED PROCUREMENT
N0001924C0032,RAYTHEON COMPANY,2037514988.0,2024-09-27,Department of Defense,Department of the Navy,,,AZ,LOT 24-26 PRODUCTION - FMS
NNG09HR00C,LOCKHEED MARTIN CORP,2032336134.57,2008-12-04,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CO,THE GOVERNMENT IS PROCURING THE NEXT-GENERATION GEOSTATIONARY OPERATIONAL ENVIRONMENTAL SATELLITES (GOES) SERIES TO CONTINUE ITS MISSION THROUGH NEW REQUIREMENTS SPECIFIED IN THE GOES-R LEVEL I REQUIR
N0001996C0054,BELL HELICOPTER TEXTRON INC,2032188650.77,1996-12-24,Department of Defense,Defense Contract Management Agency,,,TX,199712!1700!1384!AC5J0!NAVAL AIR SYSTEMS COMMAND       !N0001996C0054  !A!*!P00004             !19961224!19980930!620162602!062923321!001338979!N!*    !BELL HELICOPTER TEXTRON INC   !1235 JEFFERSON DA
N0002419C2210,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",2019738356.06,2019-04-23,Department of Defense,Department of the Navy,,,MS,POLAR SECURITY CUTTER #1 (FORMERLY HPIB) DETAIL DESIGN AND CONSTRUCTION
FA880812C0010,LOCKHEED MARTIN CORP,2011989206.93,2012-05-15,Department of Defense,Defense Contract Management Agency,,,CA,IGF::CT::IGF  AEHF SV5/6 PRODUCTION - UCA PARTS
DEAC2901AL66444,WASHINGTON TRU SOLUTIONS LLC,2007900739.8,2000-12-14,Department of Energy,Department of Energy,,,NM,MANAGEMENT AND OPERATION OF THE WASTE ISOLATION PILOT PLANT
W56HZV15CA001,BAE SYSTEMS LAND AND ARMAMENTS L.P.,2006654646.36,2014-12-23,Department of Defense,Department of the Army,,,PA,"THIS ACTION IS COST PLUS INCENTIVE-FEE (CPIF) 52 MONTH ENGINEERING AND MANUFACTURING DEVELOPMENT CONTRACT, WITH THREE FIXED PRICE INCENTIVE (SUCCESSIVE TARGETS) (FPI(S)) OPTION YEARS OF LOW RATE INITI"
DEFE0011020,"FLUOR FEDERAL PETROLEUM OPERATIONS, LLC",1996329703.46,2013-09-18,Department of Energy,Department of Energy,,,LA,IGF::OT::IGF  MANAGEMENT AND OPERATION OF THE STRATEGIC PETROLEUM RESERVE FACILITIES.
DAAA0997C0098,"WASHINGTON DEMILITARIZATION COMPANY, LLC",1995254704.5,1997-07-25,Department of Defense,Department of the Army,,,AR,199710!2100!6000!AA09 !U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0997C0098  !A!*!*                  !19970725!20051231!879410652!802675199!001339159!N!085U6!RAYTHEON ENGINEERS & CONSTRUCT!30 S 17TH ST     
80MSFC23CA014,"BLUE ORIGIN MANUFACTURING, LLC",1988511190.15,2023-05-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,AL,RAPID DDT&E AND DEMONSTRATION OF S SUSTAINABLE HUMAN LANDING SYSTEM INTEGRATED LANDER.
36C10G20K0021,TRIWEST HEALTHCARE ALLIANCE CORP,1981031881.25,2020-09-25,Department of Veterans Affairs,Department of Veterans Affairs,,,AZ,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT FOR THE OFFICE OF COMMUNITY CARE (OCC).
FA880615C0001,RANGE GENERATION NEXT LLC,1972677478.11,2014-11-06,Department of Defense,Department of the Air Force,,,VA,"IGF::CT::IGF OPERATE, MAINTAIN, AND SUSTAIN LAUNCH AND TEST RANGE SYSTEM (LTRS)"
N0002406C2115,HUNTINGTON INGALLS INC,1957373076.0,2005-11-29,Department of Defense,Department of the Navy,,,VA,
FA862518F7028,LOCKHEED MARTIN CORP,1949541131.1,2018-07-18,Department of Defense,Department of the Air Force,,,GA,"ACAT I, C-130J FIVE YEAR ORDERING CONTRACT"
36C10G23K0051,TRIWEST HEALTHCARE ALLIANCE CORP,1943190123.15,2023-06-15,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: QUARTER 2
N0001919F2474,LOCKHEED MARTIN CORPORATION,1940842446.62,2018-12-27,Department of Defense,Department of the Navy,,,TX,TECHNOLOGY REFRESH 3 (TR3) SYSTEM
80MSFC18C0011,"AMENTUM TECHNOLOGY, INC.",1940536081.05,2017-11-21,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,AL,ENGINEERING SERVICES AND SCIENCE CAPABILITY AUGMENTATION (ESSCA)
W911XK22C0006,"KOKOSING ALBERICI TRAYLOR, LLC",1936781003.61,2022-07-01,Department of Defense,Department of the Army,,,MI,"CONSTRUCTION OF THE NEW THIRD LOCK, NEW LOCK AT THE SOO, SAULT STE. MARIE, MICHIGAN."
F0470102C0009,NORTHROP GRUMMAN SYSTEMS CORPORATION,1926774531.37,2002-04-18,Department of Defense,Missile Defense Agency,,,CA,200208!000056!5700!CZ39 !SMC/PKZ LOS ANGELES AFB !F0470102C0009 !A!N! !N! !20020418!20100930!008324949!008324949!004179453!N!TRW INC !1 SPACE PARK BLVD !REDONDO BEACH !CA!90278!60018!037!06!REDONDO BE
F3365799C0036,LOCKHEED MARTIN CORP,1924919562.0,1999-12-30,Department of Defense,Defense Contract Management Agency,,,TX,
N0001918C1041,LOCKHEED MARTIN CORPORATION,1914366871.75,2018-04-30,Department of Defense,Department of the Navy,,,TX,FY18 GLOBAL F-35A REP/ROR
36C10G20K0020,TRIWEST HEALTHCARE ALLIANCE CORP,1908528940.11,2020-09-25,Department of Veterans Affairs,Department of Veterans Affairs,,,AZ,EXPRESS REPORT FOR THE PATIENT CENTERED COMMUNITY CARE (PC3) CONTRACT FOR THE OFFICE OF COMMUNITY CARE (OCC).
N0001920C0032,LOCKHEED MARTIN CORPORATION,1904520982.28,2020-07-17,Department of Defense,Department of the Navy,,,TX,"SUPPORT EQUIPMENT, AUTONOMIC LOGISTICS INFORMATION SYSTEM HARDWARE, TRAINING SYSTEMS, SITE ACTIVATIONS, INTEGRATED CONTRACTOR SUPPORT, AND THE RELIABILITY AND MAINTAINABILITY IMPROVEMENT PROGRAM FOR T"
N0002407C6119,RAYTHEON COMPANY,1904305418.03,2007-05-22,Department of Defense,Defense Contract Management Agency,,,AZ,STANDARD MISSILE 3
W58RGZ19C0027,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",1896157069.11,2019-04-19,Department of Defense,Department of the Army,,,CA,REQUIREMENT IS FOR THE PROCUREMENT OF PERFORMANCE BASED LOGISTICS SUPPORT SERVICES FOR THE MQ-1C GRAY EAGLE UNMANNED AIRCRAFT SYSTEM.
N0002419C2235,NATIONAL STEEL AND SHIPBUILDING COMPANY,1893799844.07,2018-10-16,Department of Defense,Department of the Navy,,,CA,EXPEDITIONARY SEA BASE (ESB) HULL 6 LLTM UCA
N0002498C5197,LOCKHEED MARTIN CORPORATION,1883315467.25,1998-04-14,Department of Defense,Defense Contract Management Agency,,,NJ,199807!1700!2312!BZ005!NAVAL SEA SYSTEMS COMMAND       !N0002498C5197  !A!*!*                  !19980414!19980930!834951691!834951691!834951691!N!02769!LOCKHEED MARTIN CORPORATION   !6801 ROCKLEDGE DR
W912QR04C0004,WASHINGTON GROUP/ALBERICI JOINT VENTURE,1870676938.26,2004-01-28,Department of Defense,Department of the Army,,,IL,TAS::96 3134::TAS ARRA::YES::ARRA OLMSTED DAM CONSTRUCTION PROJECT (ARRA FUNDS ADDED 9/3/2009 BY MODIFICATION P00090)
FA862522F3027,LOCKHEED MARTIN CORP,1865607013.0,2022-08-16,Department of Defense,Department of the Air Force,,,GA,C-130J ADD AIRCRAFTS FY22 CONGRESSIONAL
HQ027615C0005,RAYTHEON COMPANY,1861040363.03,2015-04-30,Department of Defense,Defense Contract Management Agency,,,AZ,FY15 SM-3 BLK IB ALL UP ROUNDS (AUR)
N0001920C0006,LOCKHEED MARTIN CORPORATION,1857559785.7,2019-12-30,Department of Defense,Defense Contract Management Agency,,,TX,GLOBAL F-35A COMBINED ROR
W912PL19C0015,SOUTHWEST VALLEY CONSTRUCTORS CO,1857177427.39,2019-05-15,Department of Defense,Department of the Army,,,AZ,"DESIGN BUILD OF TUCSON SECTOR BARRIER WALL REPLACEMENT PROJECT, VARIOUS LOCATIONS, AZ"
W31P4Q15C0151,LOCKHEED MARTIN CORPORATION,1841506960.81,2015-09-15,Department of Defense,Department of the Army,,,FL,"THIS LETTER CONTRACT IS ISSUED TO ACQUIRE BUY 16 FISCAL YEAR (FY) 2015 HELLFIRE II MISSILE HARDWARE/COMPONENT PRODUCTION REQUIREMENTS FOR THE U.S. ARMY, U.S. AIR FORCE, AND FOREIGN MILITARY SALES COUN"
N0001917C0010,RTX CORPORATION,1838656695.12,2016-11-30,Department of Defense,Department of the Navy,,,CT,PERFORMANCE BASED LOGISTICS UCA
DOCDG133E09CN0094,"L3HARRIS TECHNOLOGIES, INC.",1826088581.86,2009-05-27,Department of Commerce,National Oceanic and Atmospheric Administration,,,FL,"THE PURPOSE OF THIS CONTRACT IS TO DEVELOP THE GROUND SYSTEM THAT WILL SUPPORT NOAA S NEXT GENERATION GEOSTATIONARY SATELLITE SERIES, GOES-R. THIS NEW SERIES OF SPACECRAFT, SET TO BEGIN LAUNCHING IN 2"
N4008521C0077,381 CONSTRUCTORS,1820300099.37,2021-08-13,Department of Defense,Department of the Navy,,,ME,"P-381 MULTI-MISSION DRY DOCK #1, PORTSMOUTH NAVAL SHIPYARD, KITTERY, ME"
N0002413C5116,LOCKHEED MARTIN CORPORATION,1812244593.06,2013-03-04,Department of Defense,Department of the Navy,,,NJ,"AEGIS COMBAT SYSTEM ENGINEERING AGENT (CSEA) ADVANCED CAPABILITY BUILD 16 (ACB 16), TECHNOLOGY INSERTION 16 (TI 16), FUTURE ACB/TI, BASELINE MAINTENANCE, TRAINING, AND STUDIES"
N0001919C0008,NORTHROP GRUMMAN SYSTEMS CORPORATION,1811548807.37,2019-05-29,Department of Defense,Department of the Navy,,,CA,MQ-4C TRITON LRIP LOT 5 LONG LEAD ITEMS TO SUPPORT U.S. NAVY AND COOPERATIVE PARTNER AUSTRALIA.
N0001918C1012,THE BOEING COMPANY,1806623532.79,2018-08-30,Department of Defense,Department of the Navy,,,MO,MQ-25 EMD
N0001922C0041,LOCKHEED MARTIN CORPORATION,1805581836.44,2022-05-17,Department of Defense,Department of the Navy,,,TX,"F-35 DEVELOPMENTAL FOUNDATION CONTRACT 3 - THIS CONTRACT PROVIDES A FOUNDATION, IN SUPPORT OF F-35 DEVELOPMENTAL FLIGHT TEST AT EDWARDS AIR FORCE BASE, NAVAL AIR STATION PATUXENT RIVER, AND F-35 DEVEL"
N0001916C0002,RAYTHEON COMPANY,1795489000.0,2016-04-13,Department of Defense,Department of the Navy,,,CA,IGF::OT::IGF  NEXT GENERATION JAMMER (NGJ) ENGINEERING&MANUFACTURING DEVELOPMENT (EMD) PHASE
36C10G23K0062,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",1793325708.71,2023-07-28,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: Q3 EXPRESS REPORT R3
W58P0522C0017,"MODERNA US, INC.",1788399999.0,2022-07-29,Department of Defense,Department of the Army,,,MA,COVID-19 MRNA VACCINES
